DEBUG 2024-11-29 20:08:14,220 autoreload File C:\Program Files\Python310\Lib\multiprocessing\context.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,221 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\admindocs\__init__.py first seen with mtime 1732886801.6151018
DEBUG 2024-11-29 20:08:14,221 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1732886804.900507
DEBUG 2024-11-29 20:08:14,222 autoreload File C:\Program Files\Python310\Lib\email\errors.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,222 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\rest_framework\utils\breadcrumbs.py first seen with mtime 1732888345.2322507
DEBUG 2024-11-29 20:08:14,223 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1732886804.8542137
DEBUG 2024-11-29 20:08:14,224 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\management\base.py first seen with mtime 1732886804.775664
DEBUG 2024-11-29 20:08:14,224 autoreload File C:\Program Files\Python310\Lib\base64.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,225 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\rest_framework\apps.py first seen with mtime 1732888344.9894924
DEBUG 2024-11-29 20:08:14,226 autoreload File C:\Program Files\Python310\Lib\email\mime\__init__.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,227 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\__init__.py first seen with mtime 1732886800.3422663
DEBUG 2024-11-29 20:08:14,227 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1732886804.8209517
DEBUG 2024-11-29 20:08:14,229 autoreload File C:\Program Files\Python310\Lib\mimetypes.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,230 autoreload File C:\Program Files\Python310\Lib\copy.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,230 autoreload File C:\Program Files\Python310\Lib\importlib\metadata\_adapters.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,232 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1732886800.74563
DEBUG 2024-11-29 20:08:14,232 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1732886804.6862886
DEBUG 2024-11-29 20:08:14,233 autoreload File C:\Program Files\Python310\Lib\bz2.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,233 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django_redis\cache.py first seen with mtime 1732888971.3336942
DEBUG 2024-11-29 20:08:14,234 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1732886799.638622
